PID;COMMAND;%CPU(TRUNCATE);TIME;MEM(MB)
37891;java;25;00:47.02;142
37891;java;22;00:47.25;142
37891;java;25;00:47.51;142
37891;java;25;00:47.77;142
37891;java;24;00:48.03;142
37891;java;24;00:48.28;142
37891;java;26;00:48.56;142
37891;java;21;00:48.78;142
37891;java;22;00:49.01;142
37891;java;24;00:49.27;142
37891;java;24;00:49.52;142
37891;java;24;00:49.77;142
37891;java;25;00:50.02;142
37891;java;25;00:50.28;142
37891;java;21;00:50.51;142
37891;java;24;00:50.76;142
37891;java;23;00:51.00;142
37891;java;24;00:51.26;142
37891;java;23;00:51.50;142
37891;java;23;00:51.74;142
37891;java;26;00:52.01;142
37891;java;24;00:52.26;142
37891;java;25;00:52.51;142
37891;java;23;00:52.76;142
37891;java;22;00:53.00;142
37891;java;23;00:53.24;142
37891;java;23;00:53.48;142
37891;java;24;00:53.73;142
37891;java;24;00:53.98;142
37891;java;23;00:54.22;142
37891;java;24;00:54.47;142
37891;java;25;00:54.73;142
37891;java;25;00:54.99;142
37891;java;23;00:55.23;142
37891;java;22;00:55.47;142
37891;java;19;00:55.66;142
37891;java;22;00:55.89;142
37891;java;25;00:56.15;142
37891;java;23;00:56.40;142
37891;java;24;00:56.65;142
37891;java;24;00:56.90;142
37891;java;25;00:57.16;142
37891;java;23;00:57.40;142
37891;java;24;00:57.65;142
37891;java;23;00:57.90;142
37891;java;25;00:58.16;142
37891;java;23;00:58.40;142
37891;java;24;00:58.65;142
37891;java;24;00:58.90;142
37891;java;24;00:59.15;142
37891;java;25;00:59.41;142
37891;java;25;00:59.67;142
37891;java;24;00:59.92;142
37891;java;25;01:00.17;142
37891;java;23;01:00.41;142
37891;java;24;01:00.66;143
37891;java;23;01:00.91;143
37891;java;24;01:01.16;143
37891;java;26;01:01.43;143
37891;java;23;01:01.67;143
37891;java;24;01:01.93;143
37891;java;25;01:02.19;143
37891;java;24;01:02.44;143
37891;java;24;01:02.68;143
37891;java;24;01:02.94;143
37891;java;24;01:03.19;143
37891;java;26;01:03.45;143
37891;java;26;01:03.73;143
37891;java;24;01:03.98;143
37891;java;25;01:04.24;143
37891;java;25;01:04.50;143
37891;java;25;01:04.76;143
37891;java;25;01:05.02;143
37891;java;24;01:05.27;143
37891;java;23;01:05.52;142
37891;java;24;01:05.77;142
37891;java;24;01:06.02;142
37891;java;23;01:06.26;142
37891;java;23;01:06.50;142
37891;java;24;01:06.75;142
37891;java;24;01:07.00;142
37891;java;23;01:07.24;142
37891;java;24;01:07.49;142
37891;java;24;01:07.74;142
37891;java;23;01:07.99;142
37891;java;23;01:08.22;142
37891;java;24;01:08.47;142
37891;java;23;01:08.71;142
37891;java;23;01:08.95;142
37891;java;25;01:09.21;142
37891;java;24;01:09.46;142
37891;java;24;01:09.71;142
37891;java;22;01:09.94;142
37891;java;23;01:10.18;142
37891;java;22;01:10.41;142
37891;java;25;01:10.67;142
37891;java;25;01:10.93;142
37891;java;23;01:11.17;126
37891;java;22;01:11.39;126
37891;java;23;01:11.63;126
37891;java;22;01:11.86;126
37891;java;23;01:12.10;126
37891;java;22;01:12.33;127
37891;java;22;01:12.56;127
37891;java;22;01:12.79;127
37891;java;21;01:13.02;127
37891;java;23;01:13.26;127
37891;java;19;01:13.46;127
37891;java;21;01:13.69;127
37891;java;23;01:13.93;127
37891;java;23;01:14.17;127
37891;java;23;01:14.41;127
37891;java;23;01:14.65;127
37891;java;22;01:14.88;127
37891;java;23;01:15.13;127
37891;java;19;01:15.33;127
37891;java;23;01:15.57;127
37891;java;13;01:15.71;127
37891;java;26;01:15.98;127
37891;java;22;01:16.22;127
37891;java;23;01:16.45;127
37891;java;23;01:16.69;127
37891;java;23;01:16.93;127
37891;java;23;01:17.17;127
37891;java;23;01:17.42;127
37891;java;24;01:17.66;129
37891;java;23;01:17.90;129
37891;java;22;01:18.13;129
37891;java;23;01:18.37;129
37891;java;22;01:18.60;129
37891;java;24;01:18.85;129
37891;java;24;01:19.10;129
37891;java;23;01:19.34;129
37891;java;21;01:19.56;129
37891;java;23;01:19.80;129
37891;java;22;01:20.03;129
37891;java;24;01:20.28;129
37891;java;23;01:20.52;129
37891;java;23;01:20.76;129
37891;java;23;01:20.99;129
37891;java;24;01:21.25;129
37891;java;23;01:21.49;129
37891;java;24;01:21.73;129
37891;java;22;01:21.96;129
37891;java;22;01:22.19;129
37891;java;22;01:22.42;129
37891;java;22;01:22.65;129
37891;java;20;01:22.86;129
37891;java;23;01:23.10;129
37891;java;22;01:23.34;129
37891;java;22;01:23.57;129
37891;java;23;01:23.81;129
37891;java;23;01:24.04;129
37891;java;23;01:24.28;129
37891;java;22;01:24.51;129
37891;java;23;01:24.75;129
37891;java;22;01:24.97;129
37891;java;22;01:25.20;129
37891;java;23;01:25.44;129
37891;java;22;01:25.67;129
37891;java;22;01:25.90;129
37891;java;22;01:26.13;129
37891;java;22;01:26.35;129
37891;java;22;01:26.58;129
37891;java;21;01:26.81;129
37891;java;23;01:27.04;129
37891;java;23;01:27.29;129
37891;java;22;01:27.52;129
37891;java;23;01:27.76;129
37891;java;23;01:27.99;129
37891;java;24;01:28.24;129
37891;java;21;01:28.46;129
37891;java;24;01:28.72;129
37891;java;24;01:28.97;129
37891;java;23;01:29.21;129
37891;java;22;01:29.44;129
37891;java;24;01:29.69;129
37891;java;24;01:29.94;129
37891;java;23;01:30.18;129
37891;java;21;01:30.40;129
37891;java;23;01:30.64;129
37891;java;23;01:30.88;129
37891;java;23;01:31.12;129
37891;java;23;01:31.35;129
37891;java;22;01:31.59;129
37891;java;23;01:31.83;129
37891;java;23;01:32.07;129
37891;java;21;01:32.29;129
37891;java;22;01:32.51;129
37891;java;23;01:32.75;129
37891;java;22;01:32.98;129
37891;java;22;01:33.21;129
37891;java;22;01:33.44;129
37891;java;23;01:33.68;129
37891;java;22;01:33.92;129
37891;java;24;01:34.16;129
37891;java;22;01:34.39;129
37891;java;22;01:34.63;129
37891;java;22;01:34.86;129
37891;java;22;01:35.08;129
37891;java;24;01:35.33;129
37891;java;22;01:35.56;129
37891;java;22;01:35.79;129
37891;java;22;01:36.02;129
37891;java;24;01:36.27;129
37891;java;22;01:36.50;129
37891;java;23;01:36.73;129
37891;java;23;01:36.98;129
37891;java;23;01:37.22;129
37891;java;24;01:37.46;129
37891;java;24;01:37.71;129
37891;java;23;01:37.95;129
37891;java;23;01:38.19;129
37891;java;24;01:38.44;129
37891;java;21;01:38.67;129
37891;java;22;01:38.90;129
37891;java;22;01:39.13;129
37891;java;24;01:39.38;129
37891;java;23;01:39.62;129
37891;java;21;01:39.84;129
37891;java;23;01:40.08;129
37891;java;22;01:40.31;129
37891;java;24;01:40.56;129
37891;java;22;01:40.79;129
37891;java;22;01:41.02;129
37891;java;21;01:41.24;129
37891;java;22;01:41.47;129
37891;java;22;01:41.70;129
37891;java;21;01:41.92;129
37891;java;22;01:42.15;129
37891;java;23;01:42.39;129
37891;java;23;01:42.63;129
37891;java;23;01:42.87;129
37891;java;22;01:43.10;129
37891;java;22;01:43.34;129
37891;java;22;01:43.56;129
37891;java;23;01:43.81;129
37891;java;20;01:44.02;129
37891;java;22;01:44.25;129
37891;java;22;01:44.48;129
37891;java;20;01:44.69;129
37891;java;21;01:44.91;129
37891;java;23;01:45.15;129
37891;java;23;01:45.40;129
37891;java;22;01:45.64;129
37891;java;22;01:45.87;129
37891;java;22;01:46.10;129
37891;java;23;01:46.34;129
37891;java;22;01:46.57;129
37891;java;24;01:46.81;129
37891;java;21;01:47.03;129
37891;java;23;01:47.27;129
37891;java;22;01:47.50;129
37891;java;23;01:47.73;129
37891;java;22;01:47.97;129
37891;java;22;01:48.20;129
37891;java;22;01:48.43;129
37891;java;22;01:48.67;129
37891;java;23;01:48.91;129
37891;java;21;01:49.13;129
37891;java;22;01:49.36;129
37891;java;23;01:49.60;129
37891;java;23;01:49.84;129
37891;java;23;01:50.08;129
37891;java;20;01:50.29;129
37891;java;22;01:50.52;129
37891;java;23;01:50.76;129
37891;java;22;01:50.99;129
37891;java;23;01:51.23;129
37891;java;22;01:51.46;129
37891;java;23;01:51.70;129
37891;java;23;01:51.94;129
37891;java;24;01:52.19;129
37891;java;23;01:52.43;129
37891;java;23;01:52.67;129
37891;java;23;01:52.91;129
37891;java;21;01:53.13;129
37891;java;22;01:53.36;129
37891;java;22;01:53.59;129
37891;java;23;01:53.83;129
37891;java;24;01:54.08;129
37891;java;23;01:54.32;129
37891;java;23;01:54.55;129
37891;java;23;01:54.79;129
37891;java;22;01:55.03;129
37891;java;23;01:55.27;129
37891;java;23;01:55.51;129
37891;java;21;01:55.73;129
37891;java;21;01:55.96;129
37891;java;21;01:56.18;129
37891;java;22;01:56.42;129
37891;java;25;01:56.67;129
37891;java;20;01:56.89;129
37891;java;23;01:57.13;129
37891;java;21;01:57.35;129
37891;java;23;01:57.59;129
37891;java;23;01:57.83;129
37891;java;22;01:58.06;129
37891;java;22;01:58.28;129
37891;java;22;01:58.51;129
37891;java;22;01:58.75;129
37891;java;23;01:58.98;129
37891;java;23;01:59.22;129
37891;java;20;01:59.43;129
37891;java;22;01:59.66;129
37891;java;23;01:59.90;129
37891;java;22;02:00.13;129
37891;java;20;02:00.33;129
37891;java;22;02:00.56;129
